Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,1,6,70,2,Some Random Commen with Id 0
1,1,6,197,0,Some Random Commen with Id 1
2,1,6,141,7,Some Random Commen with Id 2
3,2,6,10,2,Some Random Commen with Id 3
4,2,6,191,8,Some Random Commen with Id 4
5,3,4,163,3,Some Random Commen with Id 5
6,3,4,37,4,Some Random Commen with Id 6
7,3,4,60,0,Some Random Commen with Id 7
8,3,4,72,1,Some Random Commen with Id 8
9,3,4,97,3,Some Random Commen with Id 9
10,3,4,49,7,Some Random Commen with Id 10
11,4,6,144,9,Some Random Commen with Id 11
12,4,6,102,5,Some Random Commen with Id 12
13,5,3,25,5,Some Random Commen with Id 13
14,5,3,55,1,Some Random Commen with Id 14
15,5,3,18,1,Some Random Commen with Id 15
16,5,3,120,4,Some Random Commen with Id 16
17,5,3,10,6,Some Random Commen with Id 17
18,5,3,85,9,Some Random Commen with Id 18
19,5,3,16,7,Some Random Commen with Id 19
20,5,3,164,8,Some Random Commen with Id 20
21,6,6,14,8,Some Random Commen with Id 21
22,6,6,190,7,Some Random Commen with Id 22
23,6,6,147,7,Some Random Commen with Id 23
24,6,6,87,5,Some Random Commen with Id 24
25,6,6,13,4,Some Random Commen with Id 25
26,7,9,125,6,Some Random Commen with Id 26
27,8,3,178,6,Some Random Commen with Id 27
28,8,3,144,0,Some Random Commen with Id 28
29,8,3,88,0,Some Random Commen with Id 29
30,8,3,10,1,Some Random Commen with Id 30
31,8,3,52,3,Some Random Commen with Id 31
32,8,3,119,0,Some Random Commen with Id 32
33,8,3,6,0,Some Random Commen with Id 33
34,8,3,78,2,Some Random Commen with Id 34
35,9,5,46,9,Some Random Commen with Id 35
36,9,5,194,5,Some Random Commen with Id 36
37,9,5,107,3,Some Random Commen with Id 37
38,9,5,71,4,Some Random Commen with Id 38
39,9,5,45,3,Some Random Commen with Id 39
40,9,5,114,3,Some Random Commen with Id 40
41,10,0,187,1,Some Random Commen with Id 41
42,10,0,11,3,Some Random Commen with Id 42
43,10,0,182,1,Some Random Commen with Id 43
44,11,3,58,5,Some Random Commen with Id 44
45,11,3,156,2,Some Random Commen with Id 45
46,11,3,7,0,Some Random Commen with Id 46
47,11,3,20,6,Some Random Commen with Id 47
48,11,3,168,3,Some Random Commen with Id 48
49,11,3,133,7,Some Random Commen with Id 49
50,11,3,176,6,Some Random Commen with Id 50
51,11,3,67,0,Some Random Commen with Id 51
52,12,2,14,0,Some Random Commen with Id 52
53,12,2,40,8,Some Random Commen with Id 53
54,12,2,191,7,Some Random Commen with Id 54
55,13,1,55,0,Some Random Commen with Id 55
56,13,1,86,5,Some Random Commen with Id 56
57,14,0,194,6,Some Random Commen with Id 57
58,14,0,187,2,Some Random Commen with Id 58
59,14,0,131,3,Some Random Commen with Id 59
60,14,0,169,3,Some Random Commen with Id 60
61,15,1,15,3,Some Random Commen with Id 61
62,15,1,59,2,Some Random Commen with Id 62
63,15,1,170,4,Some Random Commen with Id 63
64,15,1,177,9,Some Random Commen with Id 64
65,15,1,115,7,Some Random Commen with Id 65
66,15,1,27,4,Some Random Commen with Id 66
67,15,1,100,9,Some Random Commen with Id 67
68,15,1,93,3,Some Random Commen with Id 68
69,16,7,28,3,Some Random Commen with Id 69
70,16,7,122,6,Some Random Commen with Id 70
71,16,7,137,5,Some Random Commen with Id 71
72,16,7,135,7,Some Random Commen with Id 72
73,17,2,120,2,Some Random Commen with Id 73
74,17,2,73,8,Some Random Commen with Id 74
75,17,2,7,9,Some Random Commen with Id 75
76,17,2,21,4,Some Random Commen with Id 76
77,17,2,172,9,Some Random Commen with Id 77
78,17,2,8,0,Some Random Commen with Id 78
79,17,2,168,4,Some Random Commen with Id 79
80,17,2,128,4,Some Random Commen with Id 80
81,18,5,62,8,Some Random Commen with Id 81
82,18,5,80,1,Some Random Commen with Id 82
83,18,5,156,4,Some Random Commen with Id 83
84,18,5,103,2,Some Random Commen with Id 84
85,18,5,178,5,Some Random Commen with Id 85
86,18,5,189,1,Some Random Commen with Id 86
87,19,8,29,6,Some Random Commen with Id 87
88,19,8,72,0,Some Random Commen with Id 88
89,19,8,51,5,Some Random Commen with Id 89
90,19,8,116,4,Some Random Commen with Id 90
91,19,8,45,4,Some Random Commen with Id 91
92,19,8,68,7,Some Random Commen with Id 92
93,19,8,40,9,Some Random Commen with Id 93
94,19,8,49,2,Some Random Commen with Id 94
95,21,7,38,3,Some Random Commen with Id 95
96,21,7,98,6,Some Random Commen with Id 96
97,21,7,6,2,Some Random Commen with Id 97
98,22,6,81,2,Some Random Commen with Id 98
99,22,6,130,2,Some Random Commen with Id 99
100,22,6,196,6,Some Random Commen with Id 100
101,22,6,176,2,Some Random Commen with Id 101
102,22,6,173,9,Some Random Commen with Id 102
103,22,6,43,5,Some Random Commen with Id 103
104,23,4,57,7,Some Random Commen with Id 104
105,23,4,56,2,Some Random Commen with Id 105
106,23,4,99,9,Some Random Commen with Id 106
107,23,4,53,8,Some Random Commen with Id 107
108,23,4,157,5,Some Random Commen with Id 108
109,24,1,170,2,Some Random Commen with Id 109
110,24,1,153,5,Some Random Commen with Id 110
111,25,7,191,5,Some Random Commen with Id 111
112,25,7,10,0,Some Random Commen with Id 112
113,25,7,82,0,Some Random Commen with Id 113
114,25,7,194,1,Some Random Commen with Id 114
115,25,7,185,4,Some Random Commen with Id 115
116,26,5,77,3,Some Random Commen with Id 116
117,26,5,18,8,Some Random Commen with Id 117
118,26,5,84,7,Some Random Commen with Id 118
119,27,0,60,9,Some Random Commen with Id 119
120,27,0,131,4,Some Random Commen with Id 120
121,27,0,153,7,Some Random Commen with Id 121
122,27,0,104,4,Some Random Commen with Id 122
123,27,0,38,0,Some Random Commen with Id 123
124,27,0,22,0,Some Random Commen with Id 124
125,27,0,186,2,Some Random Commen with Id 125
126,27,0,185,3,Some Random Commen with Id 126
127,28,8,108,1,Some Random Commen with Id 127
128,28,8,61,7,Some Random Commen with Id 128
129,28,8,144,8,Some Random Commen with Id 129
130,28,8,141,6,Some Random Commen with Id 130
131,28,8,68,6,Some Random Commen with Id 131
132,29,8,43,9,Some Random Commen with Id 132
133,29,8,94,9,Some Random Commen with Id 133
134,29,8,139,6,Some Random Commen with Id 134
135,29,8,149,7,Some Random Commen with Id 135
136,29,8,193,1,Some Random Commen with Id 136
137,30,3,193,9,Some Random Commen with Id 137
138,30,3,7,7,Some Random Commen with Id 138
139,30,3,187,0,Some Random Commen with Id 139
140,30,3,192,8,Some Random Commen with Id 140
141,31,2,27,3,Some Random Commen with Id 141
142,31,2,95,9,Some Random Commen with Id 142
143,31,2,187,5,Some Random Commen with Id 143
144,31,2,178,5,Some Random Commen with Id 144
145,31,2,144,2,Some Random Commen with Id 145
146,31,2,0,1,Some Random Commen with Id 146
147,31,2,153,3,Some Random Commen with Id 147
148,31,2,120,9,Some Random Commen with Id 148
149,32,3,151,1,Some Random Commen with Id 149
150,34,5,74,6,Some Random Commen with Id 150
151,34,5,101,6,Some Random Commen with Id 151
152,34,5,185,3,Some Random Commen with Id 152
153,35,7,120,3,Some Random Commen with Id 153
154,35,7,93,2,Some Random Commen with Id 154
155,36,9,169,1,Some Random Commen with Id 155
156,37,3,62,8,Some Random Commen with Id 156
157,37,3,112,4,Some Random Commen with Id 157
